"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"47","Andrés Guardado",20,1529,0,3,0,0,10,4,"40%",14,4,"29%",0,4,16,29,15,12,0,9,0,1,0,0,0,0,0,4,0,14,22,"84%",1,2,0,0,0,0
"48","Andrés Prieto",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"49","Andriy Lunin",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"50","Andros Townsend",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"51","Ángel Correa",22,1491,5,6,0,0,37,14,"38%",26,7,"27%",2,19,28,19,9,8,0,5,0,0,0,0,0,0,0,4,0,30,20,"77%",5,0,0,1,0,0
"52","Ángel Montoro",12,883,1,4,0,0,11,4,"36%",44,13,"30%",0,6,15,21,12,8,1,5,0,0,0,0,0,0,0,2,0,7,17,"81%",18,32,1,1,1,0
"53","Ángel Rodríguez",24,1106,10,2,0,0,40,19,"48%",23,2,"9%",1,14,24,43,3,5,0,4,0,0,0,1,1,0,0,1,0,16,17,"63%",0,0,0,0,0,0
"54","Ansu Fati",16,684,4,1,0,0,23,9,"39%",19,4,"21%",0,13,10,12,2,9,0,2,0,0,0,0,0,0,0,1,0,17,12,"83%",7,0,0,0,0,0
"55","Ante Budimir",25,2045,9,2,0,0,40,13,"33%",2,1,"50%",2,12,48,51,4,11,0,6,0,0,1,0,0,0,0,4,0,12,10,"63%",0,0,0,0,0,0
"56","Antoine Griezmann",26,2128,8,4,0,0,48,21,"44%",20,4,"20%",0,14,16,9,9,15,0,2,0,0,0,0,0,0,0,2,0,16,26,"82%",2,1,0,0,0,0
"57","Antoñín Cortés",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"58","Antonio Adán",1,25,0,0,1,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"60%",0,0,0,0,0,0
"59","Antonio Barragán",7,416,0,1,0,0,1,0,"0%",18,2,"11%",0,2,9,6,6,2,0,2,0,1,0,0,0,0,0,2,0,2,5,"86%",0,0,0,0,0,0
"60","Antonio Lato",1,78,0,0,0,0,1,1,"100%",2,0,"0%",0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"56%",0,0,0,0,0,0
"61","Antonio Otegui",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"62","Antonio Pacheco",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"63","Antonio Puertas",26,1821,5,0,0,0,32,10,"31%",33,6,"18%",1,12,32,27,9,19,0,5,0,0,0,0,0,0,0,2,0,33,10,"73%",1,1,0,0,0,0
"64","Antonio Raillo",23,1993,1,0,0,0,13,2,"15%",0,0,"0%",0,0,7,22,16,18,0,6,1,2,0,0,0,0,0,18,0,3,3,"81%",0,12,0,0,0,0
"65","Antonio Sivera",3,270,0,0,2,3,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"54%",0,2,0,0,0,0
"66","Antoñito Regal",9,520,0,0,0,0,1,0,"0%",21,4,"19%",0,5,5,5,12,5,0,1,0,0,0,0,0,0,0,0,0,2,4,"72%",0,1,0,0,0,0
"67","Anuar Mohamed",11,189,0,0,0,0,1,0,"0%",1,0,"0%",0,0,5,3,5,3,0,1,0,0,0,0,0,0,0,3,0,2,0,"87%",0,0,0,0,0,0
"68","Aridai Cabrera",2,37,0,0,0,0,1,1,"100%",0,0,"0%",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"78%",0,1,0,0,0,0
"69","Aridane Hernández",21,1890,3,0,0,0,10,3,"30%",0,0,"0%",1,1,10,12,22,15,0,5,0,1,0,0,0,0,0,12,1,3,3,"79%",0,11,0,0,0,0
"70","Aritz Aduriz",14,208,1,0,0,0,7,3,"43%",0,0,"0%",1,1,1,7,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,"55%",0,0,0,0,0,0
"71","Aritz Aranbarri",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
