"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"290","Joel Robles",26,2257,0,0,72,36,0,0,"0%",0,0,"0%",0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,"70%",0,11,0,0,0,0
"291","Joel Ward",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"292","Joelinton",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"293","John Guidetti",5,92,0,0,0,0,2,0,"0%",0,0,"0%",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,"63%",0,0,0,1,0,0
"294","Jokin Ezkieta",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"295","Jon Moncayola",18,976,1,0,0,0,7,2,"29%",7,1,"14%",0,1,3,21,10,16,0,4,0,0,0,0,0,0,0,4,0,5,6,"75%",0,1,0,0,0,0
"296","Jon Sillero",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"297","Jonathan Calleri",19,1358,1,3,0,0,37,10,"27%",20,5,"25%",2,14,33,34,6,7,0,2,0,0,0,0,0,0,0,3,0,14,14,"54%",0,0,0,0,0,0
"298","Jonathan Silva",24,2124,0,0,0,0,15,2,"13%",106,31,"29%",0,15,29,31,25,31,0,11,0,0,0,0,0,0,1,3,0,10,24,"72%",10,26,2,3,0,0
"299","Jordan Ayew",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"300","Jordi Alba",17,1375,1,1,0,0,4,1,"25%",41,8,"20%",0,9,11,8,21,7,0,4,0,0,0,0,0,0,0,1,0,10,19,"88%",0,0,0,0,0,0
"301","Jordi Masip",27,2430,0,0,70,33,0,0,"0%",0,0,"0%",0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,1,"48%",0,11,0,0,0,0
"302","Jorge de Frutos",3,59,0,0,0,0,1,0,"0%",2,1,"50%",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,"87%",0,0,0,0,0,0
"303","Jorge F. Burgui",2,22,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"57%",0,1,0,0,0,0
"304","Jorge Miramón",24,1931,0,3,0,0,10,3,"30%",58,14,"24%",0,15,20,12,31,21,0,3,0,2,0,0,0,0,0,7,1,11,18,"77%",0,0,0,0,0,0
"305","Jorge Molina",24,1421,5,2,0,0,27,11,"41%",10,3,"30%",2,15,30,26,4,1,0,4,1,0,1,2,2,0,0,0,0,16,18,"65%",0,0,0,0,0,0
"306","Jorge Sáenz",3,131,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"86%",0,0,0,0,0,0
"307","José Ángel",21,1835,1,1,0,0,17,4,"24%",114,29,"25%",1,14,13,21,28,20,0,4,0,1,0,0,0,0,0,7,0,24,21,"71%",1,32,8,5,3,1
"308","José Antonio Caro",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"309","José Antonio Martínez",16,1038,0,0,0,0,2,0,"0%",1,0,"0%",0,0,7,4,19,14,0,0,0,0,0,0,0,0,0,3,0,3,0,"74%",0,10,0,0,0,0
"310","José Arnáiz",16,507,0,0,0,0,16,5,"31%",14,4,"29%",0,10,9,12,5,0,0,2,0,0,1,0,0,0,0,0,0,13,10,"86%",2,1,1,0,0,0
"311","José Campaña",26,2304,2,5,0,0,29,6,"21%",131,33,"25%",0,18,42,22,27,17,1,4,1,1,0,0,0,0,0,5,0,42,57,"81%",70,35,3,3,2,1
"312","José Gayà",20,1678,0,0,0,0,6,2,"33%",67,9,"13%",0,12,27,15,15,29,0,4,0,0,1,0,0,0,0,6,0,27,8,"79%",0,2,0,0,0,0
"313","José Luis Morales",27,1957,2,2,0,0,32,12,"38%",56,11,"20%",1,32,12,9,7,7,0,2,0,0,0,0,0,0,0,1,0,28,27,"69%",0,0,0,0,0,0
"314","José María Giménez",11,990,0,0,0,0,7,2,"29%",0,0,"0%",0,1,9,7,13,11,0,0,0,0,0,0,0,0,0,3,0,3,0,"86%",0,10,0,0,0,0
"315","Joseba Zaldua",24,2050,0,2,0,0,7,2,"29%",83,20,"24%",0,19,48,31,35,28,0,6,0,1,0,0,0,0,1,7,0,14,12,"78%",0,2,0,0,0,0
"316","Joselu Sanmartín",26,2054,9,2,0,0,61,21,"34%",3,1,"33%",1,9,41,39,10,13,0,5,0,0,1,0,0,0,0,3,0,11,12,"54%",0,0,0,1,0,0
"317","Josep Señé",4,136,0,0,0,0,0,0,"0%",1,1,"100%",0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,"95%",0,0,0,0,0,0
"318","Joseph Aidoo",23,1878,0,1,0,0,10,1,"10%",0,0,"0%",1,1,15,14,36,18,0,4,0,2,0,0,0,0,0,11,2,6,1,"87%",0,9,0,0,0,0
"319","Juan Hernández",2,22,0,0,0,0,0,0,"0%",2,1,"50%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"50%",0,0,0,0,0,0
"320","Juan Manuel Pérez",2,180,0,0,7,3,0,0,"0%",0,0,"0%",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"45%",0,0,0,0,0,0
"321","Juan Soriano",11,990,0,0,22,18,1,1,"100%",0,0,"0%",0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,"45%",0,0,0,0,0,0
"322","Juan Villar",10,240,1,0,0,0,5,3,"60%",1,0,"0%",0,2,2,7,0,0,0,1,0,0,0,1,1,0,0,1,0,1,3,"63%",0,0,0,0,0,0
"323","Juanmi Jiménez",2,75,0,0,0,0,3,1,"33%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80%",0,0,0,0,0,0
"324","Julen Lobete",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"325","Jules Koundé",19,1409,1,1,0,0,13,5,"38%",9,1,"11%",0,4,5,10,14,9,0,3,0,1,0,0,0,0,0,5,0,13,3,"85%",0,4,0,0,0,0
"326","Junior Firpo",12,812,1,0,0,0,4,1,"25%",7,3,"43%",0,4,11,28,13,13,0,3,0,0,0,0,0,0,0,3,1,6,8,"89%",0,1,0,0,0,0
"327","Karim Benzema",26,2214,14,6,0,0,96,42,"44%",18,0,"0%",5,15,11,15,6,5,0,0,0,0,0,3,3,0,0,1,1,25,44,"85%",0,0,0,1,0,0
"328","Karl Darlow",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"329","Karl Toko Ekambi",18,993,6,2,0,0,39,19,"49%",4,1,"25%",0,6,7,7,3,3,0,0,0,1,0,0,0,0,0,0,0,20,10,"79%",0,0,0,0,0,0
"330","Kenan Kodro",7,330,1,0,0,0,3,2,"67%",1,0,"0%",0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"65%",0,0,0,1,0,0
"331","Kenedy",16,532,1,3,0,0,15,3,"20%",29,11,"38%",0,5,7,14,10,5,0,2,0,0,0,0,0,0,0,0,0,14,9,"73%",4,2,0,0,0,0
"332","Kenneth Omeruo",19,1598,1,0,0,0,3,1,"33%",0,0,"0%",0,0,6,14,30,14,0,5,0,1,0,0,0,0,0,12,0,2,2,"69%",0,4,0,0,0,0
"333","Kevin Gameiro",19,1045,5,1,0,0,15,7,"47%",11,0,"0%",0,9,11,10,4,9,0,0,0,0,0,1,0,0,0,0,0,14,8,"76%",0,0,0,0,0,0
"334","Kevin Rodrigues",19,1372,1,2,0,0,13,6,"46%",95,27,"28%",0,7,15,26,23,24,0,4,1,0,0,0,0,0,0,3,0,21,22,"73%",23,18,8,1,0,0
"335","Kevin Soni",1,4,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50%",0,0,0,0,0,0
"336","Kevin Vázquez",9,731,0,0,0,0,0,0,"0%",15,2,"13%",0,1,13,10,14,4,0,5,0,0,0,0,0,0,0,1,0,6,3,"81%",0,1,0,0,0,0
"337","Keylor Navas",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"338","Ki Sung-Yueng",1,9,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33%",0,0,0,0,0,0
"339","Kieran Trippier",19,1529,0,3,0,0,3,0,"0%",111,28,"25%",0,14,11,19,20,28,0,2,0,1,0,0,0,0,0,5,0,12,32,"75%",39,21,3,2,0,0
"340","Kike Barja",1,63,0,0,0,0,1,1,"100%",2,0,"0%",0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,"79%",0,0,0,0,0,0
"341","Kike García",17,1092,3,0,0,0,35,9,"26%",9,1,"11%",1,8,14,33,1,4,0,2,0,0,0,0,0,0,0,0,0,3,8,"65%",0,0,0,0,0,0
"342","Kiko Olivas",27,2430,1,0,0,0,5,3,"60%",0,0,"0%",0,1,24,10,48,11,0,1,0,1,0,0,0,0,0,14,0,7,3,"87%",0,17,0,0,0,0
"343","Koke Resurrección",22,1867,2,4,0,0,16,5,"31%",72,16,"22%",0,10,25,12,25,23,0,4,0,0,1,0,0,0,0,7,0,9,46,"85%",39,40,1,0,0,0
"344","Koke Vegas",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"345","Lago Júnior",24,1760,4,0,0,0,29,12,"41%",47,6,"13%",1,21,35,32,10,14,0,2,0,2,0,3,3,0,0,5,0,22,15,"77%",0,0,0,0,0,0
"346","Leandro Cabrera",25,2160,2,0,0,0,10,3,"30%",9,2,"22%",1,6,13,22,30,12,1,4,0,0,0,0,0,0,0,10,0,3,6,"56%",0,34,0,0,0,0
"347","Leandro Chichizola",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"348","Lee Kang-in",11,304,1,0,0,0,6,2,"33%",11,2,"18%",1,2,6,7,1,2,0,1,1,0,0,0,0,0,0,0,0,10,4,"85%",4,0,0,0,0,0
"349","Leonardo Koutris",2,93,0,0,0,0,0,0,"0%",3,1,"33%",0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"71%",0,0,0,0,0,0
"350","Lillo Castellano",4,191,0,0,0,0,1,0,"0%",11,1,"9%",0,3,2,3,3,2,0,2,0,0,0,0,0,0,0,1,0,3,1,"82%",0,3,0,0,0,0
"351","Lionel Messi",22,1890,19,12,0,0,105,55,"52%",58,15,"26%",0,22,37,11,4,7,0,3,0,0,0,3,3,0,0,0,0,117,54,"83%",27,25,4,23,10,4
"352","Lisandro Magallán",11,744,1,0,0,0,5,2,"40%",0,0,"0%",0,0,3,10,7,4,0,4,0,1,0,0,0,0,0,6,0,2,0,"74%",0,7,0,0,0,0
"353","Ljubomir Fejsa",5,363,0,0,0,0,0,0,"0%",0,0,"0%",0,0,5,10,3,5,0,1,0,0,0,0,0,0,0,1,0,0,1,"81%",0,0,0,0,0,0
"354","Lluis López",4,300,0,0,0,0,2,0,"0%",2,1,"50%",0,1,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,"89%",0,0,0,0,0,0
"355","Loren Morón",26,1549,9,2,0,0,40,13,"33%",6,2,"33%",3,7,35,20,7,11,0,2,1,0,0,0,0,0,0,6,0,8,14,"66%",0,0,0,0,0,0
"356","Luca Sangalli",11,370,0,1,0,0,6,5,"83%",5,2,"40%",0,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,"76%",1,2,2,0,0,0
"357","Lucas Ocampos",22,1914,10,2,0,0,54,23,"43%",71,15,"21%",2,35,45,30,20,23,0,8,1,0,1,2,2,0,0,2,0,49,17,"77%",0,0,0,0,0,0
"358","Lucas Olaza",25,2250,1,3,0,0,14,5,"36%",159,38,"24%",0,26,17,20,27,27,0,4,0,0,1,0,0,0,0,11,1,10,27,"79%",32,27,5,5,2,1
"359","Lucas Pérez",26,1944,11,5,0,0,39,17,"44%",101,31,"31%",0,25,9,21,2,5,0,3,0,0,0,5,5,0,0,2,0,21,49,"71%",34,24,12,2,0,0
"360","Lucas Vázquez",14,644,2,1,0,0,9,3,"33%",41,12,"29%",0,12,12,20,7,13,0,1,0,0,1,0,0,0,0,0,0,16,14,"83%",3,1,0,0,0,0
"361","Luis Perea",2,21,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"86%",0,0,0,0,0,0
"362","Luis Rioja",19,1185,0,0,0,0,7,1,"14%",48,9,"19%",0,13,10,14,15,6,0,2,0,0,0,0,0,0,0,0,0,18,13,"75%",2,7,3,0,0,0
"363","Luis Suárez",17,1276,11,7,0,0,52,29,"56%",9,4,"44%",3,11,14,13,0,0,0,4,0,0,0,1,1,0,0,1,0,18,19,"74%",0,0,0,1,0,0
"364","Luka Jovic",15,396,2,1,0,0,14,2,"14%",0,0,"0%",2,0,1,4,2,1,0,2,0,0,0,0,0,0,0,0,0,8,4,"81%",0,0,0,0,0,0
"365","Luka Modric",22,1356,3,4,0,0,21,9,"43%",43,12,"28%",0,7,14,19,17,9,0,3,1,0,1,0,0,0,0,2,0,21,28,"89%",14,6,2,0,0,0
"366","Lumor Agbenyenu",20,1608,0,0,0,0,12,1,"8%",68,12,"18%",0,12,9,13,23,17,0,5,1,0,0,0,0,0,0,2,0,27,15,"74%",0,2,0,0,0,0
"367","Luuk de Jong",24,1615,5,1,0,0,45,17,"38%",2,1,"50%",3,8,32,24,6,10,0,2,0,0,0,0,0,0,0,1,0,6,17,"68%",0,0,0,0,0,0
"368","Manolo Reina",26,2340,0,0,90,41,0,0,"0%",0,0,"0%",0,1,7,0,5,0,0,4,0,0,0,0,0,1,0,0,1,0,0,"56%",0,7,0,0,0,0
"369","Manu García",25,1765,0,0,0,0,18,6,"33%",3,0,"0%",1,3,36,52,21,22,0,10,1,3,0,0,0,0,0,12,0,6,2,"71%",0,1,0,0,0,0
"370","Manu Sánchez",1,62,0,0,0,0,0,0,"0%",4,1,"25%",0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,"85%",0,0,0,0,0,0
"371","Manu Trigueros",21,1301,1,4,0,0,19,7,"37%",24,7,"29%",0,4,26,21,3,17,0,4,0,0,0,1,1,0,0,8,0,18,30,"88%",13,3,0,1,0,0
"372","Manu Vallejo",8,319,1,0,0,0,6,2,"33%",3,1,"33%",0,1,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,4,4,"71%",0,0,0,0,0,0
"373","Manuel Morlanes",2,90,0,0,0,0,0,0,"0%",1,0,"0%",0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,3,"93%",1,0,0,0,0,0
"374","Marc Bartra",23,1972,2,1,0,0,19,3,"16%",1,0,"0%",0,0,25,26,30,28,0,5,0,1,0,0,0,0,0,19,0,10,4,"84%",0,8,0,0,0,0
"375","Marc Cardona",13,528,1,1,0,0,9,2,"22%",3,0,"0%",0,4,7,6,1,0,0,1,0,0,0,0,0,0,0,1,0,4,7,"75%",0,0,0,0,0,0
"376","Marc Cucurella",26,2318,1,4,0,0,20,5,"25%",82,18,"22%",1,6,46,52,18,43,0,6,0,0,1,0,0,0,0,7,0,21,39,"67%",1,9,3,1,0,0
"377","Marc Navarro",4,219,0,0,0,0,5,0,"0%",7,0,"0%",0,5,0,6,0,3,0,1,0,0,0,0,0,0,0,1,0,2,1,"67%",0,0,0,0,0,0
"378","Marc Pedraza",2,74,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"68%",0,0,0,0,0,0
"379","Marc Roca",24,2067,2,1,0,0,24,4,"17%",36,10,"28%",0,9,16,54,23,37,0,7,0,0,0,2,2,0,0,8,1,10,20,"81%",6,21,6,1,0,0
"380","Marc-André ter Stegen",26,2340,0,2,56,29,0,0,"0%",0,0,"0%",0,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,3,0,2,"85%",0,4,0,0,0,0
"381","Marcelo",11,938,0,2,0,0,13,4,"31%",49,13,"27%",0,10,13,5,13,3,1,2,0,0,1,0,0,0,0,2,0,13,22,"85%",0,1,0,0,0,0
"382","Marcos Llorente",18,731,1,0,0,0,4,1,"25%",1,0,"0%",0,0,5,15,13,8,0,4,0,0,0,0,0,0,0,4,0,8,1,"81%",0,0,0,0,0,0
"383","Mariano Díaz",2,22,1,0,0,0,4,2,"50%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"83%",0,0,0,0,0,0
"384","Mario Gaspar",17,1498,0,1,0,0,13,1,"8%",18,5,"28%",0,9,7,22,19,17,0,2,0,0,0,0,0,0,0,9,0,3,13,"74%",0,2,0,0,0,0
"385","Mario Hermoso",14,1013,0,0,0,0,3,2,"67%",2,0,"0%",0,3,8,14,13,7,0,2,0,0,0,0,0,0,0,4,0,6,1,"78%",0,5,0,0,0,0
"386","Mario Rodríguez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"387","Markel Bergara",2,72,0,0,0,0,1,0,"0%",2,0,"0%",0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"56%",0,0,0,0,0,0
"388","Marko Dmitrovic",26,2340,0,0,56,41,0,0,"0%",0,0,"0%",0,1,1,1,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,"44%",0,9,0,0,0,0
"389","Martín Aguirregabiria",22,1530,0,1,0,0,3,1,"33%",24,7,"29%",0,3,15,27,11,21,0,3,0,1,0,0,0,0,0,4,0,13,7,"69%",0,3,0,0,0,0
"390","Martin Braithwaite",27,2063,6,1,0,0,47,22,"47%",12,0,"0%",1,14,32,31,4,7,0,3,0,0,0,1,0,0,0,2,0,40,15,"70%",0,0,0,1,0,0
"391","Martin Dubravka",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"392","Martin Kelly",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"393","Martin Odegaard",23,2015,4,5,0,0,42,14,"33%",93,28,"30%",0,17,29,22,9,14,0,3,0,0,0,0,0,0,0,0,0,57,54,"85%",48,41,7,3,1,1
"394","Martin Valjent",27,2430,0,0,0,0,12,3,"25%",1,1,"100%",1,2,8,13,31,14,0,4,0,0,0,0,0,0,0,15,0,5,3,"82%",0,12,0,0,0,0
"395","Martín Zubimendi",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"396","Mathias Olivera",13,936,0,1,0,0,3,0,"0%",22,3,"14%",1,3,9,18,15,19,0,4,1,0,0,0,0,0,0,1,0,10,4,"51%",0,5,0,0,0,0
"397","Matías Vargas",16,942,0,3,0,0,19,2,"11%",38,9,"24%",0,12,18,8,2,6,0,1,0,0,0,0,0,0,0,2,0,24,17,"69%",13,1,0,1,0,0
"398","Matt Ritchie",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"399","Matthew Longstaff",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"400","Mauro Arambarri",25,2184,1,1,0,0,31,5,"16%",26,5,"19%",0,9,43,60,36,25,0,9,1,0,0,0,0,0,0,4,0,25,8,"70%",2,7,1,4,0,0
"401","Max Meyer",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"402","Maxi Gómez",22,1506,9,2,0,0,31,17,"55%",6,0,"0%",0,7,46,35,5,7,0,5,0,0,0,1,0,0,0,0,0,6,10,"64%",0,1,0,0,0,0
"403","Maxime Gonalons",18,1448,0,0,0,0,6,4,"67%",1,0,"0%",0,2,24,35,20,38,0,6,0,0,0,0,0,0,0,3,0,11,7,"81%",0,7,0,0,0,0
"404","Míchel Herrero",24,1780,1,1,0,0,9,2,"22%",83,17,"20%",0,13,13,27,28,25,0,4,0,0,0,1,1,0,0,4,0,16,24,"81%",47,46,3,2,0,0
"405","Miguel Á. Guerrero",2,132,0,0,0,0,2,1,"50%",1,0,"0%",0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,"68%",0,0,0,0,0,0
"406","Miguel Almirón",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"407","Miguel Ángel Leal",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"408","Miguel Ángel Moyà",7,630,0,0,24,9,0,0,"0%",0,0,"0%",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"76%",0,3,0,0,0,0
"409","Miguel Atienza",1,26,0,0,0,0,1,0,"0%",0,0,"0%",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64%",0,0,0,0,0,0
"410","Miguel de la Fuente",3,32,0,0,0,0,0,0,"0%",2,0,"0%",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"67%",0,0,0,0,0,0
"411","Mikel Balenziaga",3,270,0,0,0,0,0,0,"0%",8,0,"0%",0,2,2,3,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,"73%",0,0,0,0,0,0
"412","Mikel Merino",26,2248,3,1,0,0,29,6,"21%",25,4,"16%",2,7,60,55,39,38,0,5,0,0,1,0,0,0,0,6,0,27,25,"77%",0,1,0,0,0,0
"413","Mikel Oyarzabal",26,2154,8,6,0,0,50,19,"38%",69,14,"20%",0,19,37,27,11,12,0,3,0,0,0,4,4,0,0,1,1,57,32,"77%",2,10,1,0,0,0
"414","Mikel San José",9,359,0,0,0,0,5,1,"20%",0,0,"0%",0,1,1,6,11,3,0,3,0,0,0,0,0,0,0,1,0,1,1,"72%",0,0,0,0,0,0
"415","Mikel Vesga",9,683,0,0,0,0,6,1,"17%",6,2,"33%",0,0,4,14,12,7,0,2,0,0,0,0,0,0,0,2,0,2,3,"80%",1,1,0,0,0,0
"416","Miquel Parera",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"417","Modibo Sagnan",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"418","Mohammed Salisu",27,2365,1,1,0,0,6,1,"17%",1,1,"100%",0,0,10,19,32,20,1,2,0,1,0,0,0,0,0,23,1,9,1,"81%",0,10,0,0,0,0
"419","Moi Gómez",26,1762,4,3,0,0,32,12,"38%",64,18,"28%",0,15,19,17,18,17,0,1,0,0,1,0,0,0,0,1,0,19,25,"83%",3,0,0,1,0,0
"420","Mouctar Diakhaby",16,1004,0,0,0,0,0,0,"0%",1,1,"100%",0,0,12,13,10,8,1,3,0,0,0,0,0,0,0,12,0,3,1,"88%",0,2,0,0,0,0
"421","Moussa Wague",1,90,0,0,0,0,0,0,"0%",6,0,"0%",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,"88%",0,0,0,0,0,0
"422","Mubarak Wakaso",16,1285,0,0,0,0,14,1,"7%",15,1,"7%",0,0,24,41,20,32,1,12,1,0,0,0,0,0,0,5,1,26,5,"76%",0,4,0,0,0,0
"423","Munas Dabbur",2,26,0,0,0,0,2,0,"0%",1,1,"100%",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"75%",0,0,0,0,0,0
"424","Munir El Haddadi",10,642,2,1,0,0,25,10,"40%",5,1,"20%",1,5,19,11,3,6,0,1,0,0,0,0,0,0,0,0,0,9,7,"76%",0,1,0,0,0,0
"425","Nabil Bentaleb",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"426","Nabil Fekir",22,1822,7,3,0,0,73,25,"34%",40,12,"30%",2,18,84,47,12,23,0,7,1,0,4,1,1,0,0,3,0,70,25,"83%",8,4,0,4,1,0
"427","Nacho Fernández",5,394,1,0,0,0,6,1,"17%",16,2,"13%",1,3,7,9,10,6,0,3,0,0,0,0,0,0,0,2,0,1,3,"87%",0,1,0,0,0,0
"428","Nacho Martínez",14,1175,0,2,0,0,6,0,"0%",43,6,"14%",0,9,7,19,15,14,0,2,0,0,0,0,0,0,0,6,0,7,16,"71%",0,16,1,0,0,0
"429","Nacho Vidal",19,1554,0,0,0,0,12,2,"17%",48,6,"13%",1,8,25,22,35,18,0,5,0,1,0,0,0,0,0,6,0,24,17,"71%",0,7,0,0,0,0
"430","Naïs Djouahra",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"431","Naldo Gomes",16,1233,0,1,0,0,9,0,"0%",2,1,"50%",0,1,4,18,19,12,0,7,1,0,0,0,0,0,0,6,0,3,3,"84%",0,4,0,0,0,0
"432","Natxo Monreal",20,1755,2,0,0,0,13,4,"31%",41,11,"27%",0,11,11,26,31,11,0,1,0,0,0,0,0,0,0,4,0,7,11,"83%",0,3,0,0,0,0
"433","Nélson Semedo",21,1386,0,2,0,0,4,0,"0%",10,2,"20%",2,10,24,16,16,22,0,1,0,0,1,0,0,0,0,1,0,32,6,"88%",0,0,0,0,0,0
"434","Nemanja Gudelj",16,710,0,0,0,0,6,1,"17%",2,2,"100%",0,2,7,16,11,10,0,5,0,1,0,0,0,0,0,5,0,2,2,"88%",0,2,0,1,0,0
"435","Nemanja Maksimovic",25,2112,2,0,0,0,24,9,"38%",6,3,"50%",1,4,9,15,39,24,0,5,0,0,0,0,0,0,0,5,0,10,5,"70%",0,0,0,0,0,0
