Source;Target;Type;Weight
100;104;Undirected;0.041666667
100;108;Undirected;0.041666667
100;111;Undirected;0.125
101;106;Undirected;0.041666667
101;110;Undirected;0.013888889
102;111;Undirected;0.013888889
103;104;Undirected;0.097222222
103;105;Undirected;0.069444444
103;106;Undirected;0.097222222
103;107;Undirected;0.013888889
103;108;Undirected;0.097222222
103;109;Undirected;0.013888889
103;110;Undirected;0.069444444
103;113;Undirected;0.013888889
103;114;Undirected;0.041666667
104;106;Undirected;0.041666667
104;108;Undirected;0.180555556
104;110;Undirected;0.013888889
104;111;Undirected;0.152777778
105;108;Undirected;0.013888889
105;110;Undirected;0.013888889
106;107;Undirected;0.041666667
106;108;Undirected;0.041666667
106;109;Undirected;0.041666667
106;110;Undirected;0.152777778
107;55;Undirected;0.041666667
107;108;Undirected;0.208333333
107;110;Undirected;0.236111111
107;111;Undirected;0.041666667
107;118;Undirected;0.069444444
107;119;Undirected;0.013888889
107;120;Undirected;0.013888889
108;110;Undirected;0.041666667
108;111;Undirected;0.125
108;112;Undirected;0.041666667
109;110;Undirected;0.013888889
110;113;Undirected;0.013888889
110;118;Undirected;0.152777778
111;117;Undirected;0.013888889
115;116;Undirected;0.319444444
